09203613.jpg - 09.09.2011 20:36 X(m): -1936.13, Y(m): 1708.34, Alt(m): 1.58, Depth(m): 33.62, V(m/s): 0.13, Heading(deg): 143.3, Pitch(deg): 0.3, Flash time: 0
09203615.jpg - 09.09.2011 20:36 X(m): -1936.07, Y(m): 1708.08, Alt(m): 1.58, Depth(m): 33.64, V(m/s): 0.13, Heading(deg): 143.7, Pitch(deg): 0.3, Flash time: 0
09203617.jpg - 09.09.2011 20:36 X(m): -1936.01, Y(m): 1707.82, Alt(m): 1.58, Depth(m): 33.64, V(m/s): 0.13, Heading(deg): 143.9, Pitch(deg): 0.3, Flash time: 0
09203619.jpg - 09.09.2011 20:36 X(m): -1935.95, Y(m): 1707.56, Alt(m): 1.58, Depth(m): 33.61, V(m/s): 0.13, Heading(deg): 144.1, Pitch(deg): 0.0, Flash time: 0
09203621.jpg - 09.09.2011 20:36 X(m): -1935.90, Y(m): 1707.30, Alt(m): 1.58, Depth(m): 33.62, V(m/s): 0.14, Heading(deg): 144.2, Pitch(deg): 0.0, Flash time: 0
09203623.jpg - 09.09.2011 20:36 X(m): -1935.85, Y(m): 1707.03, Alt(m): 1.57, Depth(m): 33.62, V(m/s): 0.14, Heading(deg): 144.3, Pitch(deg): 0.0, Flash time: 0
09203625.jpg - 09.09.2011 20:36 X(m): -1935.79, Y(m): 1706.75, Alt(m): 1.57, Depth(m): 33.62, V(m/s): 0.14, Heading(deg): 144.3, Pitch(deg): 0.0, Flash time: 0
09203627.jpg - 09.09.2011 20:36 X(m): -1935.74, Y(m): 1706.48, Alt(m): 1.56, Depth(m): 33.62, V(m/s): 0.14, Heading(deg): 144.2, Pitch(deg): -0.3, Flash time: 0
09203629.jpg - 09.09.2011 20:36 X(m): -1935.69, Y(m): 1706.20, Alt(m): 1.57, Depth(m): 33.55, V(m/s): 0.14, Heading(deg): 144.1, Pitch(deg): -0.3, Flash time: 0
09203631.jpg - 09.09.2011 20:36 X(m): -1935.63, Y(m): 1705.92, Alt(m): 1.58, Depth(m): 33.53, V(m/s): 0.14, Heading(deg): 144.0, Pitch(deg): -0.3, Flash time: 0
09203633.jpg - 09.09.2011 20:36 X(m): -1935.58, Y(m): 1705.64, Alt(m): 1.58, Depth(m): 33.52, V(m/s): 0.14, Heading(deg): 143.8, Pitch(deg): -0.3, Flash time: 0
09203635.jpg - 09.09.2011 20:36 X(m): -1935.52, Y(m): 1705.36, Alt(m): 1.59, Depth(m): 33.51, V(m/s): 0.14, Heading(deg): 143.6, Pitch(deg): -0.3, Flash time: 0
09203637.jpg - 09.09.2011 20:36 X(m): -1935.46, Y(m): 1705.08, Alt(m): 1.59, Depth(m): 33.53, V(m/s): 0.14, Heading(deg): 143.5, Pitch(deg): -0.3, Flash time: 0
09203639.jpg - 09.09.2011 20:36 X(m): -1935.41, Y(m): 1704.81, Alt(m): 1.61, Depth(m): 33.50, V(m/s): 0.14, Heading(deg): 143.4, Pitch(deg): 0.0, Flash time: 0
09203641.jpg - 09.09.2011 20:36 X(m): -1935.35, Y(m): 1704.53, Alt(m): 1.62, Depth(m): 33.48, V(m/s): 0.14, Heading(deg): 143.3, Pitch(deg): 0.0, Flash time: 0
09203643.jpg - 09.09.2011 20:36 X(m): -1935.29, Y(m): 1704.24, Alt(m): 1.63, Depth(m): 33.45, V(m/s): 0.14, Heading(deg): 143.2, Pitch(deg): 0.0, Flash time: 0
09203645.jpg - 09.09.2011 20:36 X(m): -1935.23, Y(m): 1703.96, Alt(m): 1.65, Depth(m): 33.48, V(m/s): 0.14, Heading(deg): 143.1, Pitch(deg): 0.0, Flash time: 0
